,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a,0.86,0.011,0.839,0.879,0.0,0.0,1154.0,668.0,1.0
v_1|participant[sub-001],-0.067,0.116,-0.327,0.114,0.005,0.004,478.0,611.0,1.0
v_1|participant[sub-002],0.004,0.101,-0.206,0.178,0.005,0.004,347.0,517.0,1.01
v_1|participant[sub-003],0.066,0.113,-0.125,0.3,0.006,0.004,372.0,670.0,1.01
v_1|participant_offset[sub-001],-0.449,0.807,-1.915,1.041,0.032,0.024,618.0,625.0,1.0
v_1|participant_offset[sub-002],0.051,0.692,-1.405,1.239,0.031,0.025,502.0,674.0,1.0
v_1|participant_offset[sub-003],0.465,0.797,-0.963,2.171,0.032,0.025,589.0,531.0,1.01
v_1|participant_sigma,0.151,0.111,0.003,0.344,0.006,0.004,296.0,394.0,1.0
v_Intercept,-0.161,0.12,-0.369,0.085,0.006,0.004,453.0,454.0,1.01
v_coh_level[medium],0.016,0.093,-0.162,0.188,0.003,0.003,742.0,705.0,1.0
"v_coh_level:exp[medium, highlevel]",-0.017,0.134,-0.287,0.224,0.005,0.004,715.0,719.0,1.0
"v_coh_level:exp[medium, lowlevel]",0.163,0.131,-0.077,0.404,0.005,0.003,797.0,649.0,1.0
v_exp[highlevel],0.133,0.11,-0.075,0.326,0.004,0.003,652.0,478.0,1.0
v_exp[lowlevel],0.262,0.108,0.053,0.462,0.004,0.003,626.0,488.0,1.0
z_1|participant[sub-001],0.041,0.063,-0.061,0.174,0.005,0.004,204.0,134.0,1.0
z_1|participant[sub-002],0.023,0.059,-0.081,0.146,0.005,0.004,192.0,127.0,1.01
z_1|participant[sub-003],0.007,0.056,-0.088,0.141,0.005,0.004,208.0,119.0,1.0
z_1|participant_offset[sub-001],0.55,0.667,-0.77,1.805,0.029,0.022,518.0,547.0,1.0
z_1|participant_offset[sub-002],0.157,0.68,-1.124,1.397,0.03,0.023,478.0,601.0,1.0
z_1|participant_offset[sub-003],-0.168,0.756,-1.685,1.137,0.037,0.026,369.0,454.0,1.0
z_1|participant_sigma,0.079,0.082,0.001,0.24,0.006,0.004,177.0,429.0,1.01
z_Intercept,0.456,0.061,0.327,0.556,0.005,0.004,195.0,133.0,1.01
z_exp[highlevel],0.022,0.025,-0.02,0.072,0.001,0.001,576.0,464.0,1.0
z_exp[lowlevel],0.028,0.025,-0.019,0.072,0.001,0.001,683.0,712.0,1.0
