participant_id	age	sex	hand	weight	height
sub-001	24	female		n/a	n/a
sub-002	28	female	right	n/a	n/a
sub-003	27	female		n/a	n/a
sub-004	24	female	left	n/a	n/a
sub-005	26	male	right	n/a	n/a
sub-006	26	male	right	n/a	n/a
sub-007	31	male	right	n/a	n/a
sub-008	33	male	right	n/a	n/a
sub-009	20	female	right	n/a	n/a
sub-010	22	male	right	n/a	n/a
sub-011	30	male	right	n/a	n/a
sub-012	22	female	right	n/a	n/a
sub-013	19	female	right	n/a	n/a
sub-014	31	male	right	n/a	n/a
sub-015	26	female	left	n/a	n/a
sub-016	24	male	right	n/a	n/a
sub-017	28	female	right	n/a	n/a
sub-018	28	female	right	n/a	n/a
sub-019	23	female	left	n/a	n/a
sub-020	26	female	right	n/a	n/a
sub-021	22	female	right	n/a	n/a
sub-022	23	female	right	n/a	n/a
sub-023	32	male	right	n/a	n/a
sub-024	23	male	right	n/a	n/a
sub-025	23	male	right	n/a	n/a
sub-026	21	trans	right	n/a	n/a
sub-027	23	female	right	n/a	n/a
sub-028	20	female	right	n/a	n/a
sub-029	23	female	right	n/a	n/a
sub-030	22	female	left	n/a	n/a
sub-031	40	female	right	n/a	n/a
sub-032	28	male	right	n/a	n/a
sub-033	21	male	right	n/a	n/a
sub-034	24	female	right	n/a	n/a
sub-035	25	male	right	n/a	n/a
sub-036	21	female	right	n/a	n/a
sub-037	23	female	right	n/a	n/a
sub-038	19	female	right	n/a	n/a
sub-039	25	female	right	n/a	n/a
sub-040	23	female	right	n/a	n/a
sub-041	21	female	right	n/a	n/a
sub-042	31	male	left	n/a	n/a
sub-043	18	female	right	n/a	n/a
